X,Y,ObjectId,EntityCode,EntityOfficialName,AgreementNumber,EntityType,EntityTypeName,EntityTypeGroup,EntityTypeGroupName,EntityTypeCategory,EntityTypeCategoryName,EntityCountyCode,EntityCountyName,EntityCharteringAgencyCode,EntityCharteringAgencyName,EntityGeographicLEADistrictCode,EntityGeographicLEADistrictOffi,EntityNCESCode,EntityLocaleCode,EntityLocaleName,EntityAuthorizedEducationalSett,EntityActualEducationalSettings,EntityStatus,EntityOpenDate,EntityCloseDate,EntityAuthorizedGrades,EntityActualGrades,EntityFIPSCode,EnttiyREMCid,EntityScheduleList,EntityEarlyChildhoodProgramList,ReceivesTransportationServicesF,ReceivesTransportationService_1,EntityReligiousOrientationCode,EntityReligiousOrientationName,EntityEmail,EntityPhone,EntityPhoneExt,EntityFax,EntityFaxExt,EntityLeadAdminHonorific,EntityLeadAdminFirstName,EntityLeadAdminLastName,EntityPhysicalStreet,EntityPhysicalCity,EntityPhysicalState,EntityPhysicalZip4,EntityMailingStreet,EntityMailingCity,EntityMailingState,EntityMailingZip4,EarlyMiddleCollege
-83.223803335,42.3862813690001,1,990005850,Primary Colors Early Childhood Center LLC,990005850,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2015/10/26 00:00:00,,,,26163,0,,CCare,0,,,,msloraine@primarycolorsecc.com,3132723505,,0,,Mrs.,Loraine,Smith-Hines,18605 Schoolcraft                                           ,Detroit                                                     ,MI,482232901,18605 Schoolcraft,Detroit,MI,48223,
-83.2628876269999,42.4369207340001,2,,,82742,0,,1,District,4,PSA,82,Wayne,05133,Grand Valley State University,82015,Detroit Public Schools Community District,2601008,11,City: Large,"GenEd,SpecEd","GenEd,SpecEd",Open-Active,2012/07/01 00:00:00,,"KG,1,2,3,4,5,6,7,8","KG,1,2,3,4,5,6,7,8",26163,20,,,0,,,,scott.cairo@cornerstonecharters.org,3134864626,,0,,Mrs.,Kalyani,Bhatt,19900 Mcintyre St                                           ,Detroit                                                     ,MI,48219,19900 MCINTYRE ST,DETROIT,MI,482191263,
-83.205757443,42.343319831,3,990000178,Kiddie University Child Care Center,990000178,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82030,Dearborn City School District,,,,,,Open-Active,2009/05/07 00:00:00,,,,26163,0,,,0,,,,Kuniversity1@aol.com,3132285802,,0,,Ms.,Janet,Phillips,16341 WEST WARREN AVE,DETROIT,MI,482283702,16341 West Warren Ave,Detroit,MI,48228,
-83.225678739,42.403451341,4,990000138,Towering Glory Ascension Ministry Church,990000138,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/05/05 00:00:00,,,,26163,0,,,0,,,,skboles19@comcast.net,3135156072,,0,,Mr.,Stephen,Boles,18701 GRAND RIVER AVE # 245,DETROIT,MI,482232214,18701 GRAND RIVER AVE # 245,DETROIT,MI,482232214,
-83.2026948769999,42.436924865,5,990000189,Exceptional Deliverance Ministries,990000189,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2009/06/08 00:00:00,,,,26163,0,,,0,,,,except.deliveranceminstries@yahoo.com,3136336712,,0,,Ms.,Donna,Knight,19774 FORRER ST,DETROIT,MI,482352307,19774 FORRER ST,DETROIT,MI,482352307,
-83.0642459329999,42.361325508,6,05644,College for Creative Studies,820005644,46,Higher Education College/University,6,College/University,6,Higher Education,82,Wayne,,,0,,,,,,,Open-Active,1900/01/01 00:00:00,,,,26163,20,,,0,,,,admissions@collegeforcreativestudies.edu,3136647400,,3138722739,,Mr.,Richard,Rogers,201 EAST KIRBY ST,DETROIT,MI,482024048,201 EAST KIRBY ST,DETROIT,MI,482024048,
-82.975829265,42.389755612,7,82SPX0063,CAREER CHILD CARE CTR,82SPX0063,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/10/06 00:00:00,,,,26163,0,,,0,,,,,0,,0,,,,,5000 CONNER ST,DETROIT,MI,482133402,5000 CONNER ST,DETROIT,MI,482133402,
-82.954113831,42.42786756,8,820001533,ProLiteracy  Detroit,820001533,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/10/06 00:00:00,,,,26163,0,,,0,,,,margaretw@proliteracydetroit.org,3138727720,1625      ,3139654112,,Ms.,Margaret,Thorpe-Williamson,12300 Morang Drive,Detroit,MI,482241563,12300 Morang Drive,Detroit,MI,482241563,
-82.922021979,42.4054205620001,9,990000169,Promised Land Church,990000169,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2008/04/30 00:00:00,,,,26163,0,,,0,,,,promisedland12@yahoo.com,3136856643,,0,,Ms.,Lisa,Tillman,4545 HEREFORD ST,DETROIT,MI,482241404,4545 Hereford St,Detroit,MI,48224,
-83.056276944,42.4335090270001,10,990001495,Quality Child Care & Learning Center,990001495,52,Other Non-School Recipient,4,Non-School Recipient,7,Other,82,Wayne,,,82015,Detroit Public Schools Community District,,,,,,Open-Active,2012/01/03 00:00:00,,,,26163,0,,,0,,,,micahmanagement@yahoo.com,3135164570,,0,,Ms.,Mikki,Henry,4719 E 7 Mile Rd                                            ,Detroit                                                     ,MI,48234,4719 E 7 MILE RD,DETROIT,MI,482342111,
